removal_strategy,included_rod_count,expected_runs,recorded_runs,successful_runs,failed_runs,missing_not_attempted_runs,runtime_limit_failures,open_list_exhausted_failures,runtime_successful_mean_s,runtime_successful_median_s,runtime_successful_std_s,runtime_successful_min_s,runtime_successful_max_s
highest_first,61,5,5,5,0,0,0,0,1.4334664074,1.796200601,0.5372305891377919,0.828482083,1.860438842
highest_first,63,5,5,5,0,0,0,0,1.6050798898,1.930067134,0.501643247338544,1.045345935,2.008687549
highest_first,65,5,5,5,0,0,0,0,1.922783453,2.097380504,0.2847237865029427,1.597916697,2.18012632
highest_first,67,5,5,5,0,0,0,0,2.0281424512,2.317077757,0.43105340674369286,1.368641454,2.327532674
highest_first,69,5,5,5,0,0,0,0,1.9294416088000002,1.572069571,0.5354255801227048,1.500331199,2.604352797
highest_first,71,5,5,5,0,0,0,0,2.2624578972,2.529316106,0.43501000053205136,1.587281782,2.59448149
highest_first,73,5,5,5,0,0,0,0,2.3573330068,2.182617821,0.2974950990055928,2.120418919,2.708616774
highest_first,75,5,5,5,0,0,0,0,2.1929331378,2.277161706,0.41870907250193,1.762035969,2.800777419
highest_first,77,5,5,5,0,0,0,0,2.315009629,2.2490053,0.3649142219524015,1.853973468,2.870382982
highest_first,79,5,5,5,0,0,0,0,2.6062942258,2.942662492,0.5235211502763639,1.985399534,3.04491643
highest_first,81,5,5,5,0,0,0,0,2.561098454,2.260453133,0.47623935611866225,2.225086472,3.323076703
highest_first,83,5,5,5,0,0,0,0,3.5270216338,3.523530238,0.038389489547564534,3.487900217,3.577195748
highest_first,85,5,5,5,0,0,0,0,3.3433075791999998,3.550347479,0.3190554747364909,2.971443709,3.595478184
highest_first,87,5,5,5,0,0,0,0,3.3029465038,3.281236084,0.42208689953766754,2.710872632,3.725625082
highest_first,89,5,5,5,0,0,0,0,3.539460597,3.716132067,0.4160021190185371,2.803384166,3.780929056
highest_first,91,5,5,5,0,0,0,0,3.3565902154000002,3.321535377,0.3654703775961586,2.864468283,3.821268614
highest_first,93,5,5,5,0,0,0,0,3.788157092,3.906088984,0.24611657654872154,3.354658803,3.939609062
highest_first,95,5,5,5,0,0,0,0,4.1876507622000005,4.263386544,0.2554047424994675,3.74580654,4.41017184
highest_first,97,5,5,5,0,0,0,0,4.0457775948000005,4.110434265,0.4315120273461142,3.418314855,4.435128443
highest_first,99,5,5,5,0,0,0,0,4.3577125974,4.372079556,0.4351008857410122,3.877864263,4.799263708
highest_first,101,5,5,5,0,0,0,0,4.9021251474,4.828899969,0.16436512962266256,4.759717688,5.116705592
highest_first,103,5,5,5,0,0,0,0,4.7483985982000005,4.781348016,0.4618393498148236,4.039021368,5.175880925
highest_first,105,5,5,5,0,0,0,0,5.0213955932,5.287860427,0.4348703696893551,4.335408191,5.322941063
